run_id,model_name,artifact_path,size_bytes,size_mb
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,behavior_labels.parquet,53460,0.051
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,calibration_artifacts/concept_stats.parquet,5915,0.006
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,calibration_artifacts/concept_vectors.safetensors,185120,0.177
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,calibration_artifacts/thresholds.parquet,4385,0.004
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,generation_outputs.parquet,52373,0.05
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,hidden_last.safetensors,3205324896,3056.836
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,hidden_spans.safetensors,3205324896,3056.836
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,jbshield_scores.parquet,299212,0.285
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,model_metadata.parquet,11354,0.011
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,prompts.parquet,2469835,2.355
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,token_spans.parquet,150620,0.144
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,behavior_labels.parquet,53340,0.051
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,calibration_artifacts/concept_stats.parquet,5926,0.006
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,calibration_artifacts/concept_vectors.safetensors,144152,0.137
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,calibration_artifacts/thresholds.parquet,4419,0.004
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,generation_outputs.parquet,52253,0.05
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,hidden_last.safetensors,2280857696,2175.195
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,hidden_spans.safetensors,2280857696,2175.195
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,jbshield_scores.parquet,297969,0.284
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,model_metadata.parquet,11291,0.011
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,prompts.parquet,2469715,2.355
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,token_spans.parquet,150500,0.144
jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it,behavior_labels.parquet,53460,0.051
jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it,calibration_artifacts/concept_stats.parquet,5868,0.006
jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it,calibration_artifacts/concept_vectors.safetensors,154392,0.147
jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it,calibration_artifacts/thresholds.parquet,4328,0.004
jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it,generation_outputs.parquet,52373,0.05
jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it,hidden_last.safetensors,2784768096,2655.762
jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it,hidden_spans.safetensors,2784768096,2655.762
jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it,jbshield_scores.parquet,299575,0.286
jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it,model_metadata.parquet,11371,0.011
jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it,prompts.parquet,2469835,2.355
jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it,token_spans.parquet,150016,0.143
jbshield-gemma-phase2-gemma-3-27b-it,gemma-3-27b-it,behavior_labels.parquet,53460,0.051
jbshield-gemma-phase2-gemma-3-27b-it,gemma-3-27b-it,calibration_artifacts/concept_stats.parquet,5870,0.006
jbshield-gemma-phase2-gemma-3-27b-it,gemma-3-27b-it,calibration_artifacts/concept_vectors.safetensors,215840,0.206
jbshield-gemma-phase2-gemma-3-27b-it,gemma-3-27b-it,calibration_artifacts/thresholds.parquet,4356,0.004
jbshield-gemma-phase2-gemma-3-27b-it,gemma-3-27b-it,generation_outputs.parquet,52373,0.05
jbshield-gemma-phase2-gemma-3-27b-it,gemma-3-27b-it,hidden_last.safetensors,5012582496,4780.371
jbshield-gemma-phase2-gemma-3-27b-it,gemma-3-27b-it,hidden_spans.safetensors,5012582496,4780.371
jbshield-gemma-phase2-gemma-3-27b-it,gemma-3-27b-it,jbshield_scores.parquet,298531,0.285
jbshield-gemma-phase2-gemma-3-27b-it,gemma-3-27b-it,model_metadata.parquet,11419,0.011
jbshield-gemma-phase2-gemma-3-27b-it,gemma-3-27b-it,prompts.parquet,2469835,2.355
jbshield-gemma-phase2-gemma-3-27b-it,gemma-3-27b-it,token_spans.parquet,150016,0.143
