model_id,attack_family,toxic_layer,jailbreak_layer,toxic_layer_normalized_depth,jailbreak_layer_normalized_depth,toxic_delta,jailbreak_delta,run_id,model_name
google/gemma-2-27b-it,ijp,30,30,0.6521739130434783,0.6521739130434783,10769.8818359375,-11147.4560546875,jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it
google/gemma-2-27b-it,gcg,30,44,0.6521739130434783,0.9565217391304348,10769.8818359375,-6812.806640625,jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it
google/gemma-2-27b-it,saa,30,39,0.6521739130434783,0.8478260869565217,10769.8818359375,-19539.978515625,jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it
google/gemma-2-27b-it,autodan,30,31,0.6521739130434783,0.6739130434782609,10769.8818359375,-4953.61572265625,jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it
google/gemma-2-27b-it,pair,30,30,0.6521739130434783,0.6521739130434783,10769.8818359375,-6300.236328125,jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it
google/gemma-2-27b-it,drattack,30,44,0.6521739130434783,0.9565217391304348,10769.8818359375,-18863.603515625,jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it
google/gemma-2-27b-it,puzzler,30,30,0.6521739130434783,0.6521739130434783,10769.8818359375,-13739.208984375,jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it
google/gemma-2-27b-it,zulu,30,44,0.6521739130434783,0.9565217391304348,10769.8818359375,-29314.63671875,jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it
google/gemma-2-27b-it,base64,30,44,0.6521739130434783,0.9565217391304348,10769.8818359375,-26020.451171875,jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it
google/gemma-2-9b-it,ijp,31,34,0.7380952380952381,0.8095238095238095,358.1595458984375,-403.132080078125,jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it
google/gemma-2-9b-it,gcg,31,38,0.7380952380952381,0.9047619047619048,358.1595458984375,-209.9486541748047,jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it
google/gemma-2-9b-it,saa,31,34,0.7380952380952381,0.8095238095238095,358.1595458984375,-507.9395751953125,jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it
google/gemma-2-9b-it,autodan,31,17,0.7380952380952381,0.40476190476190477,358.1595458984375,-84.10161590576172,jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it
google/gemma-2-9b-it,pair,31,34,0.7380952380952381,0.8095238095238095,358.1595458984375,-239.0009307861328,jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it
google/gemma-2-9b-it,drattack,31,34,0.7380952380952381,0.8095238095238095,358.1595458984375,-357.12396240234375,jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it
google/gemma-2-9b-it,puzzler,31,31,0.7380952380952381,0.7380952380952381,358.1595458984375,-463.090087890625,jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it
google/gemma-2-9b-it,zulu,31,39,0.7380952380952381,0.9285714285714286,358.1595458984375,-795.8856201171875,jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it
google/gemma-2-9b-it,base64,31,34,0.7380952380952381,0.8095238095238095,358.1595458984375,-539.0533447265625,jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it
google/gemma-3-12b-it,ijp,48,48,1.0,1.0,39241.47265625,-37352.0,jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it
google/gemma-3-12b-it,gcg,48,48,1.0,1.0,39241.47265625,-32328.8984375,jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it
google/gemma-3-12b-it,saa,48,48,1.0,1.0,39241.47265625,-46200.78515625,jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it
google/gemma-3-12b-it,autodan,48,48,1.0,1.0,39241.47265625,-19591.57421875,jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it
google/gemma-3-12b-it,pair,48,48,1.0,1.0,39241.47265625,-25625.068359375,jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it
google/gemma-3-12b-it,drattack,48,48,1.0,1.0,39241.47265625,-48170.0234375,jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it
google/gemma-3-12b-it,puzzler,48,48,1.0,1.0,39241.47265625,-49104.20703125,jbshield-gemma-phase2-gemma-3-12b-it,gemma-3-12b-it
